date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2023-02-06,2023-02-06T09:17:00+05:30,2023-02-06T15:15:00+05:30,358.0,119.65,108.6,111.35,96.05,228.25,2606.25,147.13,2459.12,Time Exit (15:15),3,14.98,17808.9492,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.930019042050686
2023-02-07,2023-02-07T09:17:00+05:30,2023-02-07T15:15:00+05:30,358.0,116.25,85.0,102.7,68.5,201.25,3756.25,139.94,3616.31,Time Exit (15:15),2,14.74,17769.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,16.06723618102796
2023-02-09,2023-02-09T09:17:00+05:30,2023-02-09T14:46:00+05:30,329.0,39.95,59.85,11.15,24.8,99.80000000000001,7981.25,112.97,7868.28,Winner Booking (25.4%),0,13.72,17826.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.07245870109256
2023-02-15,2023-02-15T09:17:00+05:30,2023-02-15T15:15:00+05:30,358.0,61.45,66.9,55.6,41.95,128.35000000000002,3850.0,122.48,3727.52,Time Exit (15:15),1,13.18,17891.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.147581611444155
2023-02-21,2023-02-21T09:17:00+05:30,2023-02-21T15:15:00+05:30,358.0,99.4,66.35,86.25,53.9,165.75,3200.0,131.83,3068.17,Time Exit (15:15),2,13.9,17879.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,16.547218440626974
2023-02-28,2023-02-28T09:17:00+05:30,2023-02-28T15:15:00+05:30,358.0,84.35,83.7,88.15,56.2,168.05,2962.5,132.53,2829.97,Time Exit (15:15),2,13.9,17382.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.345435139805954
2023-03-09,2023-03-09T09:17:00+05:30,2023-03-09T10:17:00+05:30,60.0,35.4,39.35,20.35,45.95,74.75,1056.25,111.54,944.71,Spot Move Exit (75pts > 75pts),0,12.52,17745.6504,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.031249383018416
2023-03-24,2023-03-24T09:17:00+05:30,2023-03-24T15:15:00+05:30,358.0,111.55,111.0,118.65,103.85,222.55,6.25,147.48,-141.23,Time Exit (15:15),3,14.53,17091.0508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.707143718836658
2023-03-27,2023-03-27T09:17:00+05:30,2023-03-27T15:15:00+05:30,358.0,127.1,78.8,96.7,69.9,205.89999999999998,4912.5,140.29,4772.21,Time Exit (15:15),2,15.61,16973.5,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.29023162106533
2023-03-29,2023-03-29T09:17:00+05:30,2023-03-29T14:25:00+05:30,308.0,48.8,41.3,19.55,11.85,90.1,7337.5,111.06,7226.44,Winner Booking (26.3%),0,14.75,17008.4492,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,17.381869858433042
