base_sl_pct,dynamic_sl,trail_trigger_pct,trail_lock_pct,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
15.0,False,50.0,20.0,57410.73,127,61.4,1604.77,-1382.88,1.85,-8165.46,2.82,"{0: 5842.86, 3: 20471.88, 4: 31095.99}","{'hard_exit': 69, 'both_sl_hit': 52, 'loss_limit': 3, 'profit_target': 2, 'combined_decay': 1}"
30.0,True,0.0,20.0,57213.19,127,59.8,1803.91,-1566.35,1.72,-10715.21,2.42,"{0: 41712.08, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 31, 'winner_booking': 21, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
30.0,True,0.0,10.0,57213.19,127,59.8,1803.91,-1566.35,1.72,-10715.21,2.42,"{0: 41712.08, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 31, 'winner_booking': 21, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
30.0,True,0.0,15.0,57213.19,127,59.8,1803.91,-1566.35,1.72,-10715.21,2.42,"{0: 41712.08, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 31, 'winner_booking': 21, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
20.0,False,60.0,20.0,54616.76,127,69.3,1357.29,-1662.18,1.84,-8443.05,2.64,"{0: 7617.3499999999985, 3: 16966.82, 4: 30032.59}","{'hard_exit': 62, 'both_sl_hit': 56, 'loss_limit': 5, 'profit_target': 4}"
15.0,False,60.0,15.0,54350.61,127,66.9,1375.83,-1490.35,1.87,-8165.46,2.83,"{0: 4808.4, 3: 18686.72, 4: 30855.489999999998}","{'both_sl_hit': 62, 'hard_exit': 60, 'loss_limit': 3, 'profit_target': 2}"
25.0,True,0.0,10.0,51140.28,127,58.3,1799.67,-1547.83,1.62,-14342.94,2.19,"{0: 35639.17, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 34, 'winner_booking': 20, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
25.0,True,0.0,15.0,51140.28,127,58.3,1799.67,-1547.83,1.62,-14342.94,2.19,"{0: 35639.17, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 34, 'winner_booking': 20, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
25.0,True,0.0,20.0,51140.28,127,58.3,1799.67,-1547.83,1.62,-14342.94,2.19,"{0: 35639.17, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 34, 'winner_booking': 20, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
30.0,True,50.0,10.0,48567.96,127,63.0,1541.18,-1589.93,1.65,-9500.2,2.15,"{0: 25133.85, 3: 10324.56, 4: 13109.55}","{'hard_exit': 61, 'both_sl_hit': 54, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
