Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
862,2023-06-27,,09:17:00,18759.35,,,,,2023-06-27,,15:15:00,18824.8,1602.25,,,1894.75,0,Exit Condition Met For Trade
862.1,2023-06-27,Tuesday,09:17:00,62.8,65,CE,18750.0,Sell,2023-06-27,Tuesday,15:03:00,75.35,-815.7499999999998,-19.984076433121018,2023-06-28,,,Stop Loss Hit
862.2,2023-06-27,Tuesday,09:17:00,54.3,65,PE,18750.0,Sell,2023-06-27,Tuesday,15:15:00,17.1,2417.9999999999995,68.50828729281767,2023-06-28,,,Exit Condition Met For Trade
863,2023-06-28,,09:17:00,18871.55,,,,,2023-06-28,,15:15:00,18972.95,1530.75,,,1530.75,-260.0,Exit Condition Met For Trade
863.1,2023-06-28,Wednesday,09:17:00,42.15,65,CE,18850.0,Sell,2023-06-28,Wednesday,09:38:00,50.6,-549.2500000000002,-20.04744958481614,2023-06-28,,,Stop Loss Hit
863.2,2023-06-28,Wednesday,09:17:00,32.1,65,PE,18850.0,Sell,2023-06-28,Wednesday,15:15:00,0.1,2080.0,99.68847352024922,2023-06-28,,,Exit Condition Met For Trade
864,2023-06-30,,09:17:00,19070.75,,,,,2023-06-30,,15:15:00,19194.25,1287.0,,,1287.0,-260.0,Exit Condition Met For Trade
864.1,2023-06-30,Friday,09:17:00,111.95,65,CE,19050.0,Sell,2023-06-30,Friday,11:40:00,134.35,-1455.9999999999995,-20.008932559178195,2023-07-06,,,Stop Loss Hit
864.2,2023-06-30,Friday,09:17:00,79.8,65,PE,19050.0,Sell,2023-06-30,Friday,15:15:00,37.6,2742.9999999999995,52.88220551378446,2023-07-06,,,Exit Condition Met For Trade
865,2023-07-03,,09:17:00,19273.05,,,,,2023-07-03,,15:15:00,19316.2,286.0,,,744.25,-1261.0,Exit Condition Met For Trade
865.1,2023-07-03,Monday,09:17:00,88.45,65,CE,19250.0,Sell,2023-07-03,Monday,09:35:00,106.15,-1150.5000000000002,-20.01130582249859,2023-07-06,,,Stop Loss Hit
865.2,2023-07-03,Monday,09:17:00,69.8,65,PE,19250.0,Sell,2023-07-03,Monday,15:15:00,47.7,1436.4999999999995,31.661891117478504,2023-07-06,,,Exit Condition Met For Trade
866,2023-07-04,,09:17:00,19409.1,,,,,2023-07-04,,15:15:00,19389.95,188.5,,,1446.25,-1790.75,Exit Condition Met For Trade
866.1,2023-07-04,Tuesday,09:17:00,70.1,65,CE,19400.0,Sell,2023-07-04,Tuesday,15:15:00,52.55,1140.7499999999998,25.035663338088444,2023-07-06,,,Exit Condition Met For Trade
866.2,2023-07-04,Tuesday,09:17:00,73.15,65,PE,19400.0,Sell,2023-07-04,Tuesday,09:36:00,87.8,-952.2499999999994,-20.027341079972643,2023-07-06,,,Stop Loss Hit
867,2023-07-05,,09:17:00,19370.95,,,,,2023-07-05,,15:15:00,19410.65,838.5,,,838.5,-1053.0,Exit Condition Met For Trade
867.1,2023-07-05,Wednesday,09:17:00,71.9,65,CE,19350.0,Sell,2023-07-05,Wednesday,09:18:00,86.3,-935.9999999999994,-20.027816411682878,2023-07-06,,,Stop Loss Hit
867.2,2023-07-05,Wednesday,09:17:00,53.9,65,PE,19350.0,Sell,2023-07-05,Wednesday,15:15:00,26.6,1774.4999999999998,50.649350649350644,2023-07-06,,,Exit Condition Met For Trade
868,2023-07-06,,09:17:00,19394.0,,,,,2023-07-06,,15:15:00,19505.45,2938.0,,,2938.0,-445.25,Exit Condition Met For Trade
868.1,2023-07-06,Thursday,09:17:00,40.75,65,CE,19400.0,Sell,2023-07-06,Thursday,09:24:00,48.9,-529.7499999999999,-19.999999999999996,2023-07-06,,,Stop Loss Hit
